mode,epoch,acc,loss,length,complexity,information_loss,kl_accuracy,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed
train,0,0.0,,,,,,1,8,20,100,10,4,2,gru,gs,25,42
test,0,0.0,,,,,,1,8,20,100,10,4,2,gru,gs,25,42
train,1,0.5939945578575134,0.607900857925415,2.640810251235962,0.23579997864977925,0.8378181163621714,11.126129842162133,1,8,20,100,10,4,2,gru,gs,25,42
test,1,0.6651999950408936,0.49722543358802795,2.677999973297119,1.4715985193578296,0.6851235752742263,9.056364968180656,1,8,20,100,10,4,2,gru,gs,25,42
train,2,0.7302606701850891,0.38106414675712585,2.6685705184936523,0.6479373164213106,0.509434702679081,6.538066398230474,1,8,20,100,10,4,2,gru,gs,25,42
test,2,0.7472800016403198,0.29636019468307495,2.677999973297119,0.6366965139180649,0.41606140165430106,5.050713526802603,1,8,20,100,10,4,2,gru,gs,25,42
train,3,0.7864521145820618,0.2550659775733948,2.701749324798584,0.6328391401728058,0.44804526668516553,4.299376143715959,1,8,20,100,10,4,2,gru,gs,25,42
test,3,0.7544000744819641,0.24673978984355927,2.677999973297119,0.6366965139180649,0.6223811863946352,4.606277644095404,1,8,20,100,10,4,2,gru,gs,25,42
train,4,0.7905762791633606,0.2030886858701706,2.701852798461914,0.6246052392526317,0.48420205263009714,3.681443337057531,1,8,20,100,10,4,2,gru,gs,25,42
test,4,0.7706000208854675,0.18333597481250763,2.677999973297119,0.6366965139180649,0.5195926036367116,4.011393315453908,1,8,20,100,10,4,2,gru,gs,25,42
train,5,0.8045206665992737,0.17516198754310608,2.7020020484924316,0.6175952295535481,0.4321366780880193,3.3035363407571445,1,8,20,100,10,4,2,gru,gs,25,42
test,5,0.7909199595451355,0.17041811347007751,2.677999973297119,0.6366965139180649,0.4696863768248938,3.7235101247187568,1,8,20,100,10,4,2,gru,gs,25,42
train,6,0.805606484413147,0.16531020402908325,2.702025890350342,0.6164013311705766,0.42335526432103227,3.2161306910106706,1,8,20,100,10,4,2,gru,gs,25,42
test,6,0.7840400338172913,0.17168347537517548,2.677999973297119,0.6366965139180649,0.4926653558248985,3.5411505097180953,1,8,20,100,10,4,2,gru,gs,25,42
train,7,0.8028419017791748,0.16171178221702576,2.7020063400268555,0.6151809864667501,0.43395395297347045,3.1688365258182403,1,8,20,100,10,4,2,gru,gs,25,42
test,7,0.7832801342010498,0.15224207937717438,2.677999973297119,0.6366965139180649,0.4618953011838692,3.5377824698710576,1,8,20,100,10,4,2,gru,gs,25,42
train,8,0.7825161218643188,0.17759767174720764,2.7021138668060303,0.613120470891122,0.43758661135061383,3.780763382643058,1,8,20,100,10,4,2,gru,gs,25,42
test,8,0.7750800848007202,0.1562289148569107,2.677999973297119,0.6366965139180649,0.4609985219854798,3.5668811369345685,1,8,20,100,10,4,2,gru,gs,25,42
train,9,0.8005909323692322,0.15780726075172424,2.702052593231201,0.6136064318976958,0.39122749943825164,3.2962844317959874,1,8,20,100,10,4,2,gru,gs,25,42
test,9,0.7713199257850647,0.1491546630859375,2.677999973297119,0.6366965139180649,0.45341837368764304,3.8001500619649553,1,8,20,100,10,4,2,gru,gs,25,42
