mode,epoch,acc,loss,length,complexity,information_loss,kl_accuracy,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed
train,0,0.0,,,,,,1,8,20,100,10,4,2,gru,gs,25,42
test,0,0.0,,,,,,1,8,20,100,10,4,2,gru,gs,25,42
train,1,0.6092233061790466,0.6173096299171448,2.6811161041259766,0.2093199593306173,0.8505640671370819,11.226441495108604,1,8,20,100,10,4,2,gru,gs,25,42
test,1,0.7210001349449158,0.5169986486434937,3.0,1.4428232973175177e-12,0.6273883772136316,7.9857260270118715,1,8,20,100,10,4,2,gru,gs,25,42
train,2,0.788469672203064,0.4487423002719879,2.8413708209991455,0.2483680948779637,0.5419206250831697,6.977646013046801,1,8,20,100,10,4,2,gru,gs,25,42
test,2,0.8370000720024109,0.3309101164340973,3.0,0.446404937571113,0.345970315974419,4.562394573185593,1,8,20,100,10,4,2,gru,gs,25,42
train,3,0.8924831748008728,0.26031494140625,2.962834596633911,0.4947784391489306,0.2502358577445448,3.2692959988161805,1,8,20,100,10,4,2,gru,gs,25,42
test,3,0.8980000019073486,0.20291559398174286,3.0,0.6022816025580828,0.1952984397422406,2.595011578206904,1,8,20,100,10,4,2,gru,gs,25,42
train,4,0.9238603711128235,0.1811264008283615,2.950310468673706,0.6401815375356051,0.1530885579928603,2.0932541725203055,1,8,20,100,10,4,2,gru,gs,25,42
test,4,0.9040000438690186,0.1939775049686432,3.0,0.6022816025580828,0.1481733487158147,1.878800988878178,1,8,20,100,10,4,2,gru,gs,25,42
train,5,0.9445977807044983,0.12733273208141327,2.9408082962036133,0.7254586787317198,0.08124755472974117,1.140907564029087,1,8,20,100,10,4,2,gru,gs,25,42
test,5,0.9440000057220459,0.14320167899131775,3.0,0.7277446800397507,0.05363611185123536,0.7128753191182924,1,8,20,100,10,4,2,gru,gs,25,42
train,6,0.9548429846763611,0.11392403393983841,2.971607208251953,0.8027862234081542,0.05303808792530711,0.7048792477273629,1,8,20,100,10,4,2,gru,gs,25,42
test,6,0.9580000042915344,0.0985085740685463,3.0,0.8667919619682563,0.05526972569080781,0.7963136464096483,1,8,20,100,10,4,2,gru,gs,25,42
train,7,0.9560667872428894,0.10595390945672989,2.979233503341675,0.905454928957709,0.04856770708766367,0.6530087739779167,1,8,20,100,10,4,2,gru,gs,25,42
test,7,0.9610000848770142,0.0931931808590889,3.0,1.0525970167303145,0.034052315834999305,0.5032509935110613,1,8,20,100,10,4,2,gru,gs,25,42
train,8,0.9589577317237854,0.09429853409528732,2.991515874862671,0.9477122633020306,0.03514029040510121,0.48417047271864605,1,8,20,100,10,4,2,gru,gs,25,42
test,8,0.9759999513626099,0.0693841353058815,3.0,1.0171152462010147,0.023424596303154303,0.3307833167517279,1,8,20,100,10,4,2,gru,gs,25,42
train,9,0.96201491355896,0.08346594870090485,2.997044324874878,0.9854885386079537,0.02179976582677171,0.31527253176362713,1,8,20,100,10,4,2,gru,gs,25,42
test,9,0.972000002861023,0.06966103613376617,3.0,1.015325000044792,0.012924257915501934,0.1993519515705067,1,8,20,100,10,4,2,gru,gs,25,42
