mode,epoch,acc,loss,length,complexity,information_loss,kl_accuracy,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed
train,0,0.0,,,,,,1,8,20,100,10,4,2,gru,gs,25,42
test,0,0.0,,,,,,1,8,20,100,10,4,2,gru,gs,25,42
train,1,0.5095604658126831,0.6931815147399902,2.5824215412139893,0.32088996060833314,0.999555091185201,13.1156625,1,8,20,100,10,4,2,gru,gs,25,42
test,1,0.5360000133514404,0.6931911706924438,1.0,1.4428232973175177e-12,0.9990237197611505,13.106675302505494,1,8,20,100,10,4,2,gru,gs,25,42
train,2,0.5173760056495667,0.6931357383728027,2.49573016166687,0.33441226494339166,0.9996857381151389,13.117732387351989,1,8,20,100,10,4,2,gru,gs,25,42
test,2,0.5460000038146973,0.6921377182006836,1.0,1.4428232973175177e-12,0.9985765015805206,13.107082123756408,1,8,20,100,10,4,2,gru,gs,25,42
train,3,0.5236369371414185,0.6924881935119629,2.5433452129364014,0.3265075945258686,0.999038781313741,13.108125734329224,1,8,20,100,10,4,2,gru,gs,25,42
test,3,0.5305200219154358,0.6925419569015503,2.375,1.2889778240675733,0.9987513445603607,13.10504087638855,1,8,20,100,10,4,2,gru,gs,25,42
train,4,0.5557669997215271,0.6678848266601562,2.696352243423462,0.4764586179740356,0.94884539554451,12.492699266192316,1,8,20,100,10,4,2,gru,gs,25,42
test,4,0.7640000581741333,0.4383525848388672,3.0,1.0344959384545858,0.6436319138960261,9.046858966588974,1,8,20,100,10,4,2,gru,gs,25,42
train,5,0.7592356204986572,0.3883078098297119,2.956007719039917,1.1125866088862366,0.41188316670310554,5.793629559721053,1,8,20,100,10,4,2,gru,gs,25,42
test,5,0.7480001449584961,0.38926130533218384,3.0,1.3757842564572764,0.3108508054538708,4.303390373479575,1,8,20,100,10,4,2,gru,gs,25,42
train,6,0.7814545631408691,0.33715203404426575,2.9583678245544434,1.4491376745901268,0.29915525430523626,4.220576518852747,1,8,20,100,10,4,2,gru,gs,25,42
test,6,0.8530000448226929,0.2589229941368103,3.0,1.6609294906924543,0.1986106744962457,2.876447885531125,1,8,20,100,10,4,2,gru,gs,25,42
train,7,0.8622443079948425,0.24260465800762177,2.993224859237671,1.6636396899162507,0.1559738659850072,2.2501929986306997,1,8,20,100,10,4,2,gru,gs,25,42
test,7,0.8640000820159912,0.22589829564094543,3.0,1.8743532306380248,0.13069292717731468,1.8161996429612954,1,8,20,100,10,4,2,gru,gs,25,42
train,8,0.8863427639007568,0.1948504000902176,2.9974465370178223,1.8558010403545888,0.09400766420208541,1.3559690785512786,1,8,20,100,10,4,2,gru,gs,25,42
test,8,0.8750000596046448,0.17975136637687683,3.0,1.91372046712656,0.08135646148881963,1.144628674316492,1,8,20,100,10,4,2,gru,gs,25,42
train,9,0.8801882863044739,0.19146190583705902,2.9990289211273193,1.8841009147322123,0.07597476248442832,1.0858681582966034,1,8,20,100,10,4,2,gru,gs,25,42
test,9,0.9000000357627869,0.1851406693458557,3.0,1.91372046712656,0.07780874720676888,1.116032427603125,1,8,20,100,10,4,2,gru,gs,25,42
