Epoch,Ego Node,Target Node,Message,Receiver Output,Predicted Label,Correct,Complexity,Information Loss
5,Bob,FBe,[73],"[[1.2624357623280957e-05, 1.5538033039774746e-05, 0.08469832688570023, 0.0866299644112587, 1.9590972442529164e-05, 0.08469831198453903, 0.0866299644112587, 2.160315852961503e-05, 2.717271854635328e-05, 0.08046114444732666, 0.08102186024188995, 2.513540312065743e-05, 0.08046114444732666, 0.08102186024188995, 0.0840856209397316, 0.08416330069303513, 0.0, 0.08120984584093094, 0.08222696930170059, 0.00010561922681517899, 0.0001227006287081167, 0.00013837622827850282, 0.0001721125008771196, 0.0002191522071370855, 0.0002875491918530315, 8.123919542413205e-05, 9.474781836615875e-05, 8.275842264993116e-05, 0.00010275856766384095, 0.00023773370776325464, 0.0002745213860180229, 0.00027971778763458133, 0.00034361938014626503]]",MBy,False,60.99350943279268,17.80320694944369
5,Bob,DS,[37],"[[1.4580838978872634e-05, 1.873970904853195e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.533213046262972e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.254773789900355e-05, 3.0440563932643272e-05, 6.33202726021409e-05, 5.114518353366293e-05, 3.3828895539045334e-05, 6.33202726021409e-05, 5.114518353366293e-05, 0.00011896761861862615, 9.895473340293393e-05, 0.0, 0.00011356874165358022, 9.139858593698591e-05, 0.06527894735336304, 0.06284790486097336, 0.06686674058437347, 0.0636550560593605, 0.10153184086084366, 0.09653983265161514, 0.06397826969623566, 0.06132505089044571, 0.06674398481845856, 0.06355686485767365, 0.0717792734503746, 0.06950920820236206, 0.07433278858661652, 0.0710674449801445]]",D,False,60.99350943279268,17.80320694944369
5,Bob,MBy,[73],"[[1.2624357623280957e-05, 1.5538033039774746e-05, 0.08469832688570023, 0.0866299644112587, 1.9590972442529164e-05, 0.08469831198453903, 0.0866299644112587, 2.160315852961503e-05, 2.717271854635328e-05, 0.08046114444732666, 0.08102186024188995, 2.513540312065743e-05, 0.08046114444732666, 0.08102186024188995, 0.0840856209397316, 0.08416330069303513, 0.0, 0.08120984584093094, 0.08222696930170059, 0.00010561922681517899, 0.0001227006287081167, 0.00013837622827850282, 0.0001721125008771196, 0.0002191522071370855, 0.0002875491918530315, 8.123919542413205e-05, 9.474781836615875e-05, 8.275842264993116e-05, 0.00010275856766384095, 0.00023773370776325464, 0.0002745213860180229, 0.00027971778763458133, 0.00034361938014626503]]",MBy,True,60.99350943279268,17.80320694944369
5,Bob,ZyS,[37],"[[1.4580838978872634e-05, 1.873970904853195e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.533213046262972e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.254773789900355e-05, 3.0440563932643272e-05, 6.33202726021409e-05, 5.114518353366293e-05, 3.3828895539045334e-05, 6.33202726021409e-05, 5.114518353366293e-05, 0.00011896761861862615, 9.895473340293393e-05, 0.0, 0.00011356874165358022, 9.139858593698591e-05, 0.06527894735336304, 0.06284790486097336, 0.06686674058437347, 0.0636550560593605, 0.10153184086084366, 0.09653983265161514, 0.06397826969623566, 0.06132505089044571, 0.06674398481845856, 0.06355686485767365, 0.0717792734503746, 0.06950920820236206, 0.07433278858661652, 0.0710674449801445]]",D,False,60.99350943279268,17.80320694944369
5,Bob,ByD,[37],"[[1.4580838978872634e-05, 1.873970904853195e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.533213046262972e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.254773789900355e-05, 3.0440563932643272e-05, 6.33202726021409e-05, 5.114518353366293e-05, 3.3828895539045334e-05, 6.33202726021409e-05, 5.114518353366293e-05, 0.00011896761861862615, 9.895473340293393e-05, 0.0, 0.00011356874165358022, 9.139858593698591e-05, 0.06527894735336304, 0.06284790486097336, 0.06686674058437347, 0.0636550560593605, 0.10153184086084366, 0.09653983265161514, 0.06397826969623566, 0.06132505089044571, 0.06674398481845856, 0.06355686485767365, 0.0717792734503746, 0.06950920820236206, 0.07433278858661652, 0.0710674449801445]]",D,False,60.99350943279268,17.80320694944369
5,Bob,M,[87],"[[0.1743904948234558, 0.17641936242580414, 1.0975048780892394e-06, 1.2549161283459398e-06, 0.1597832590341568, 1.0975048780892394e-06, 1.2549161283459398e-06, 0.16338463127613068, 0.16497476398944855, 1.5585842447762843e-06, 1.766706986927602e-06, 0.16078463196754456, 1.5585811752316658e-06, 1.766706986927602e-06, 2.4858361484803027e-06, 3.4064303235936677e-06, 0.0, 2.2640488168690354e-06, 2.5690974325698335e-06, 8.449622328043915e-06, 1.254299331776565e-05, 1.2036049156449735e-05, 1.8479129721526988e-05, 1.2148046153015457e-05, 1.878291914181318e-05, 5.7131360335915815e-06, 8.397133569815196e-06, 6.22823381490889e-06, 9.532092008157633e-06, 1.8571954569779336e-05, 2.7632468118099496e-05, 2.3785582015989348e-05, 3.6397232179297134e-05]]",MF,False,60.99350943279268,17.80320694944369
5,Bob,MZe,[73],"[[1.2624357623280957e-05, 1.5538033039774746e-05, 0.08469832688570023, 0.0866299644112587, 1.9590972442529164e-05, 0.08469831198453903, 0.0866299644112587, 2.160315852961503e-05, 2.717271854635328e-05, 0.08046114444732666, 0.08102186024188995, 2.513540312065743e-05, 0.08046114444732666, 0.08102186024188995, 0.0840856209397316, 0.08416330069303513, 0.0, 0.08120984584093094, 0.08222696930170059, 0.00010561922681517899, 0.0001227006287081167, 0.00013837622827850282, 0.0001721125008771196, 0.0002191522071370855, 0.0002875491918530315, 8.123919542413205e-05, 9.474781836615875e-05, 8.275842264993116e-05, 0.00010275856766384095, 0.00023773370776325464, 0.0002745213860180229, 0.00027971778763458133, 0.00034361938014626503]]",MBy,False,60.99350943279268,17.80320694944369
5,Bob,FF,[87],"[[0.1743904948234558, 0.17641936242580414, 1.0975048780892394e-06, 1.2549161283459398e-06, 0.1597832590341568, 1.0975048780892394e-06, 1.2549161283459398e-06, 0.16338463127613068, 0.16497476398944855, 1.5585842447762843e-06, 1.766706986927602e-06, 0.16078463196754456, 1.5585811752316658e-06, 1.766706986927602e-06, 2.4858361484803027e-06, 3.4064303235936677e-06, 0.0, 2.2640488168690354e-06, 2.5690974325698335e-06, 8.449622328043915e-06, 1.254299331776565e-05, 1.2036049156449735e-05, 1.8479129721526988e-05, 1.2148046153015457e-05, 1.878291914181318e-05, 5.7131360335915815e-06, 8.397133569815196e-06, 6.22823381490889e-06, 9.532092008157633e-06, 1.8571954569779336e-05, 2.7632468118099496e-05, 2.3785582015989348e-05, 3.6397232179297134e-05]]",MF,False,60.99350943279268,17.80320694944369
5,Bob,SS,[37],"[[1.4580838978872634e-05, 1.873970904853195e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.533213046262972e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.254773789900355e-05, 3.0440563932643272e-05, 6.33202726021409e-05, 5.114518353366293e-05, 3.3828895539045334e-05, 6.33202726021409e-05, 5.114518353366293e-05, 0.00011896761861862615, 9.895473340293393e-05, 0.0, 0.00011356874165358022, 9.139858593698591e-05, 0.06527894735336304, 0.06284790486097336, 0.06686674058437347, 0.0636550560593605, 0.10153184086084366, 0.09653983265161514, 0.06397826969623566, 0.06132505089044571, 0.06674398481845856, 0.06355686485767365, 0.0717792734503746, 0.06950920820236206, 0.07433278858661652, 0.0710674449801445]]",D,False,60.99350943279268,17.80320694944369
5,Bob,ZeS,[37],"[[1.4580838978872634e-05, 1.873970904853195e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.533213046262972e-05, 3.649799691629596e-05, 2.9271584935486317e-05, 2.254773789900355e-05, 3.0440563932643272e-05, 6.33202726021409e-05, 5.114518353366293e-05, 3.3828895539045334e-05, 6.33202726021409e-05, 5.114518353366293e-05, 0.00011896761861862615, 9.895473340293393e-05, 0.0, 0.00011356874165358022, 9.139858593698591e-05, 0.06527894735336304, 0.06284790486097336, 0.06686674058437347, 0.0636550560593605, 0.10153184086084366, 0.09653983265161514, 0.06397826969623566, 0.06132505089044571, 0.06674398481845856, 0.06355686485767365, 0.0717792734503746, 0.06950920820236206, 0.07433278858661652, 0.0710674449801445]]",D,False,60.99350943279268,17.80320694944369
