epoch,mode,loss,acc,sender_entropy,receiver_entropy,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,codebook_size
1,train,2.7182199954986572,0.06859999895095825,1.6083513498306274,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
1,test,2.4302313327789307,0.10199999809265137,8.909924531508295e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
2,train,2.43216609954834,0.09359999746084213,7.637563612661324e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
2,test,2.420163631439209,0.10000000149011612,8.220495146815665e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
3,train,2.426046371459961,0.09439999610185623,7.430369919347868e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
3,test,2.4345905780792236,0.10099999606609344,8.043884918151889e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
4,train,2.42533278465271,0.10259999334812164,7.269641173479613e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
4,test,2.418675422668457,0.10300000011920929,7.861515314289136e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
5,train,2.4267656803131104,0.0989999994635582,7.10530571268464e-07,0.0,0.09375,60.99350943279268,17.80320694944369,50,100,200,20,200,1,1,gru,rf,50,43,100
5,test,2.4224863052368164,0.09699998795986176,7.676021596125793e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
6,train,2.4255001544952393,0.08919999748468399,6.924173590050486e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
6,test,2.4174294471740723,0.08799999207258224,7.473676646441163e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
7,train,2.423004388809204,0.09479999542236328,6.716095981573744e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
7,test,2.4194495677948,0.10300000011920929,7.235606744870893e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
8,train,2.422969341278076,0.09320000559091568,6.5157377093783e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
8,test,2.4229419231414795,0.0989999994635582,7.012303626652283e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
9,train,2.425253391265869,0.09639998525381088,6.291750764830795e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
9,test,2.415684700012207,0.10600000619888306,6.758756967428781e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
10,train,2.4254868030548096,0.09639999270439148,6.03925457198784e-07,0.0,0.09375,60.99350943279268,17.967384920815302,50,100,200,20,200,1,1,gru,rf,50,43,100
10,test,2.4191462993621826,0.0950000062584877,6.458029702116619e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
11,train,2.425279378890991,0.0973999947309494,5.768872028966143e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
11,test,2.422311305999756,0.0989999920129776,6.15925728197908e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
12,train,2.424604892730713,0.10159999877214432,5.484216103468498e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
12,test,2.4268860816955566,0.09799999743700027,5.826422011523391e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
13,train,2.4238805770874023,0.09920000284910202,5.192412118049106e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
13,test,2.4176430702209473,0.09700000286102295,5.511656127055176e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
14,train,2.427621364593506,0.09399999678134918,4.892802394351747e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
14,test,2.421297550201416,0.09300000220537186,5.187831675357302e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
15,train,2.4269204139709473,0.09600000083446503,4.6074731585576956e-07,0.0,0.09375,60.99350943279268,21.456219533476133,50,100,200,20,200,1,1,gru,rf,50,43,100
15,test,2.41754412651062,0.10399999469518661,4.85962857510458e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
16,train,2.424240827560425,0.10819999873638153,4.1781720483413665e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
16,test,2.4274048805236816,0.0989999994635582,4.350122821961122e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
17,train,2.4229986667633057,0.0982000082731247,3.835293114207161e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
17,test,2.416107416152954,0.09299999475479126,3.9741684076943784e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
18,train,2.4210309982299805,0.10119999200105667,3.429070147831226e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
18,test,2.4195351600646973,0.08900000154972076,3.5640252349367074e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
19,train,2.4216582775115967,0.10479999333620071,3.0498978276227717e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
19,test,2.4182443618774414,0.08799999207258224,3.146331266634661e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
20,train,2.4208574295043945,0.10020000487565994,2.669541174782353e-07,0.0,0.09375,60.99350943279268,21.62703850986214,50,100,200,20,200,1,1,gru,rf,50,43,100
20,test,2.4146671295166016,0.08699999749660492,2.719840210829716e-07,0.0,,,,50,100,200,20,200,1,1,gru,rf,50,43,100
