epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,2.3215315341949463,0.17579999566078186,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
1,test,1.6937624216079712,0.23599998652935028,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
2,train,1.4650845527648926,0.3027999997138977,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
2,test,1.272931456565857,0.3190000057220459,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
3,train,1.2561155557632446,0.31700000166893005,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
3,test,1.2391760349273682,0.32399997115135193,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
4,train,1.2094794511795044,0.34540000557899475,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
4,test,1.1559064388275146,0.3579999804496765,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
5,train,1.1550253629684448,0.3553999960422516,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
5,test,1.13340425491333,0.3750000298023224,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
6,train,1.1408272981643677,0.36400002241134644,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
6,test,1.1103484630584717,0.38200002908706665,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
7,train,1.1116315126419067,0.3612000346183777,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
7,test,1.0905895233154297,0.3840000033378601,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
8,train,1.0989552736282349,0.3797999918460846,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
8,test,1.0544140338897705,0.39500001072883606,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
9,train,1.0308690071105957,0.4050000011920929,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
9,test,1.0078598260879517,0.4010000228881836,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
10,train,1.0040462017059326,0.4147999584674835,0.421875,19.835784864789744,22.97969292011068,50,100,200,500,200,1,1,gru,gs,50,42,0
10,test,0.9690801501274109,0.44999998807907104,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
11,train,0.902985692024231,0.47200000286102295,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
11,test,0.8653081059455872,0.4480000138282776,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
12,train,0.8433212041854858,0.4749999940395355,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
12,test,0.8429709672927856,0.4619999825954437,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
13,train,0.8369183540344238,0.4662000238895416,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
13,test,0.8403016924858093,0.4619999825954437,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
14,train,0.8385065197944641,0.4602000415325165,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
14,test,0.87060546875,0.4660000205039978,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
15,train,0.840117335319519,0.4651999771595001,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
15,test,0.8421813249588013,0.4659999907016754,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
16,train,0.8412829041481018,0.47140002250671387,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
16,test,0.8418876528739929,0.45600003004074097,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
17,train,0.8379314541816711,0.4601999521255493,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
17,test,0.836480975151062,0.45500001311302185,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
18,train,0.8336780667304993,0.4520000219345093,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
18,test,0.8491487503051758,0.4689999520778656,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
19,train,0.808139979839325,0.4851999580860138,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
19,test,0.7917996644973755,0.4999999403953552,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
20,train,0.7901714444160461,0.49639999866485596,0.484375,16.827666246201368,36.066566609103894,50,100,200,500,200,1,1,gru,gs,50,42,0
20,test,0.8095098733901978,0.5,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
21,train,0.7790049910545349,0.5146000385284424,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
21,test,0.806439220905304,0.4910000264644623,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
22,train,0.7810494303703308,0.5031999945640564,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
22,test,0.8218163251876831,0.49799999594688416,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
23,train,0.7797501087188721,0.508400022983551,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
23,test,0.8131437301635742,0.49799996614456177,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
24,train,0.7794315218925476,0.5008000135421753,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
24,test,0.8126105070114136,0.5020000338554382,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
25,train,0.774575412273407,0.4986000061035156,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
25,test,0.8403770327568054,0.49799999594688416,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
26,train,0.7754783630371094,0.5060000419616699,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
26,test,0.833031952381134,0.4829999804496765,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
27,train,0.7713484764099121,0.5112000107765198,,,,50,100,200,500,200,1,1,gru,gs,50,42,0
