epoch,mode,loss,acc,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,1.8181357383728027,0.1502000093460083,31,100,200,10,200,1,1,gru,vq,50,42,0
1,test,2.0357043743133545,0.15699999034404755,31,100,200,10,200,1,1,gru,vq,50,42,0
2,train,1.573542833328247,0.1623999923467636,31,100,200,10,200,1,1,gru,vq,50,42,0
2,test,2.032167911529541,0.1599999964237213,31,100,200,10,200,1,1,gru,vq,50,42,0
3,train,1.5687397718429565,0.16700001060962677,31,100,200,10,200,1,1,gru,vq,50,42,0
3,test,2.0174126625061035,0.18799999356269836,31,100,200,10,200,1,1,gru,vq,50,42,0
4,train,1.5689826011657715,0.1566000133752823,31,100,200,10,200,1,1,gru,vq,50,42,0
4,test,2.0179286003112793,0.17399999499320984,31,100,200,10,200,1,1,gru,vq,50,42,0
5,train,1.5671879053115845,0.1599999964237213,31,100,200,10,200,1,1,gru,vq,50,42,0
5,test,2.0111308097839355,0.1770000010728836,31,100,200,10,200,1,1,gru,vq,50,42,0
6,train,1.5679333209991455,0.16339999437332153,31,100,200,10,200,1,1,gru,vq,50,42,0
6,test,2.0237698554992676,0.16499999165534973,31,100,200,10,200,1,1,gru,vq,50,42,0
7,train,1.566254734992981,0.1589999943971634,31,100,200,10,200,1,1,gru,vq,50,42,0
7,test,2.0213735103607178,0.1680000126361847,31,100,200,10,200,1,1,gru,vq,50,42,0
8,train,1.5664420127868652,0.16220001876354218,31,100,200,10,200,1,1,gru,vq,50,42,0
8,test,2.031069040298462,0.16200001537799835,31,100,200,10,200,1,1,gru,vq,50,42,0
9,train,1.5647250413894653,0.16179999709129333,31,100,200,10,200,1,1,gru,vq,50,42,0
9,test,2.013226270675659,0.15800000727176666,31,100,200,10,200,1,1,gru,vq,50,42,0
10,train,1.564023494720459,0.15219999849796295,31,100,200,10,200,1,1,gru,vq,50,42,0
10,test,2.0263819694519043,0.1680000126361847,31,100,200,10,200,1,1,gru,vq,50,42,0
