epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,1.3851515054702759,0.5672000050544739,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
1,test,0.6415876150131226,0.900999903678894,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
2,train,0.3616563081741333,0.9336000084877014,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
2,test,0.19349965453147888,0.9369999170303345,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
3,train,0.14762187004089355,0.9391999840736389,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
3,test,0.12362166494131088,0.9379999041557312,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
4,train,0.11082198470830917,0.9390000700950623,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
4,test,0.10570789873600006,0.9389999508857727,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
5,train,0.09925981611013412,0.9387999176979065,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
5,test,0.09882645308971405,0.9350000619888306,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
6,train,0.09422966092824936,0.9383999705314636,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
6,test,0.09525956958532333,0.9369999766349792,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
7,train,0.09153816848993301,0.9404000639915466,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
7,test,0.09319007396697998,0.9329999685287476,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
8,train,0.08989731967449188,0.9395999312400818,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
8,test,0.09192650020122528,0.9390000104904175,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
9,train,0.08884020149707794,0.9391999244689941,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
9,test,0.09109281003475189,0.9340000152587891,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
10,train,0.08813320845365524,0.9386000037193298,0.9375,20.4416527809497,51.01830649999261,50,100,200,100,200,1,1,gru,continuous,50,42,100
10,test,0.09047757089138031,0.9380000233650208,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
11,train,0.08761263638734818,0.9394000172615051,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
11,test,0.09002665430307388,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
12,train,0.08722458779811859,0.9387999773025513,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
12,test,0.08969269692897797,0.9329999685287476,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
13,train,0.08693045377731323,0.9387999773025513,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
13,test,0.08943961560726166,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
14,train,0.08669926971197128,0.9375999569892883,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
14,test,0.08923768997192383,0.9420000314712524,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
15,train,0.0865156352519989,0.9400001764297485,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
15,test,0.08907076716423035,0.934999942779541,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
16,train,0.08636552840471268,0.9408000111579895,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
16,test,0.08893261104822159,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
17,train,0.08624449372291565,0.937999963760376,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
