epoch,mode,loss,acc,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,3.0436906814575195,0.1095999926328659,50,100,200,20,200,1,1,lstm,continuous,50,43,42
1,test,2.695295810699463,0.19299998879432678,50,100,200,20,200,1,1,lstm,continuous,50,43,42
2,train,2.463402509689331,0.2205999791622162,50,100,200,20,200,1,1,lstm,continuous,50,43,42
2,test,2.2931408882141113,0.27399998903274536,50,100,200,20,200,1,1,lstm,continuous,50,43,42
3,train,2.0650291442871094,0.37459999322891235,50,100,200,20,200,1,1,lstm,continuous,50,43,42
3,test,1.9442307949066162,0.41200003027915955,50,100,200,20,200,1,1,lstm,continuous,50,43,42
4,train,1.7911286354064941,0.4549999535083771,50,100,200,20,200,1,1,lstm,continuous,50,43,42
4,test,1.718711256980896,0.4580000042915344,50,100,200,20,200,1,1,lstm,continuous,50,43,42
5,train,1.5965893268585205,0.4994000196456909,50,100,200,20,200,1,1,lstm,continuous,50,43,42
5,test,1.5415924787521362,0.4960000514984131,50,100,200,20,200,1,1,lstm,continuous,50,43,42
6,train,1.4378771781921387,0.5525999665260315,50,100,200,20,200,1,1,lstm,continuous,50,43,42
6,test,1.3963749408721924,0.5820000171661377,50,100,200,20,200,1,1,lstm,continuous,50,43,42
7,train,1.3100773096084595,0.6055999994277954,50,100,200,20,200,1,1,lstm,continuous,50,43,42
7,test,1.2839505672454834,0.6510000228881836,50,100,200,20,200,1,1,lstm,continuous,50,43,42
8,train,1.204439640045166,0.6417999863624573,50,100,200,20,200,1,1,lstm,continuous,50,43,42
8,test,1.1819677352905273,0.6829999685287476,50,100,200,20,200,1,1,lstm,continuous,50,43,42
9,train,1.1219701766967773,0.6703999042510986,50,100,200,20,200,1,1,lstm,continuous,50,43,42
9,test,1.1024413108825684,0.6809999942779541,50,100,200,20,200,1,1,lstm,continuous,50,43,42
10,train,1.0524567365646362,0.6762000322341919,50,100,200,20,200,1,1,lstm,continuous,50,43,42
10,test,1.0449317693710327,0.6850000619888306,50,100,200,20,200,1,1,lstm,continuous,50,43,42
11,train,0.9940218925476074,0.6809999942779541,50,100,200,20,200,1,1,lstm,continuous,50,43,42
11,test,0.9898868799209595,0.6949999332427979,50,100,200,20,200,1,1,lstm,continuous,50,43,42
12,train,0.94647216796875,0.6886000037193298,50,100,200,20,200,1,1,lstm,continuous,50,43,42
12,test,0.9500988125801086,0.7140000462532043,50,100,200,20,200,1,1,lstm,continuous,50,43,42
13,train,0.9051328897476196,0.6880000233650208,50,100,200,20,200,1,1,lstm,continuous,50,43,42
13,test,0.9085413217544556,0.6949999928474426,50,100,200,20,200,1,1,lstm,continuous,50,43,42
14,train,0.8702264428138733,0.6926000118255615,50,100,200,20,200,1,1,lstm,continuous,50,43,42
14,test,0.8747735023498535,0.7400000095367432,50,100,200,20,200,1,1,lstm,continuous,50,43,42
15,train,0.8369787335395813,0.7035999298095703,50,100,200,20,200,1,1,lstm,continuous,50,43,42
15,test,0.8413031697273254,0.7120000720024109,50,100,200,20,200,1,1,lstm,continuous,50,43,42
16,train,0.8093580007553101,0.7103999257087708,50,100,200,20,200,1,1,lstm,continuous,50,43,42
16,test,0.8308021426200867,0.6859999895095825,50,100,200,20,200,1,1,lstm,continuous,50,43,42
17,train,0.7867131233215332,0.7051999568939209,50,100,200,20,200,1,1,lstm,continuous,50,43,42
17,test,0.7926827669143677,0.7319999933242798,50,100,200,20,200,1,1,lstm,continuous,50,43,42
18,train,0.762122631072998,0.7095999121665955,50,100,200,20,200,1,1,lstm,continuous,50,43,42
18,test,0.775723934173584,0.699999988079071,50,100,200,20,200,1,1,lstm,continuous,50,43,42
19,train,0.7439306378364563,0.7131999731063843,50,100,200,20,200,1,1,lstm,continuous,50,43,42
19,test,0.7542421817779541,0.7080000638961792,50,100,200,20,200,1,1,lstm,continuous,50,43,42
20,train,0.7258604168891907,0.7097999453544617,50,100,200,20,200,1,1,lstm,continuous,50,43,42
20,test,0.7369459271430969,0.7149999737739563,50,100,200,20,200,1,1,lstm,continuous,50,43,42
