epoch,mode,loss,acc,sender_entropy,receiver_entropy,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,3.2907063961029053,0.02879999950528145,4.588833808898926,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
1,test,3.456270217895508,0.02499999664723873,4.5975260734558105,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
2,train,3.4107067584991455,0.03539999946951866,3.9930379390716553,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
2,test,3.063417673110962,0.06300000101327896,1.3898813724517822,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
3,train,2.9414050579071045,0.06379999965429306,0.33812153339385986,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
3,test,2.834517002105713,0.06300000101327896,0.0006127560045570135,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
4,train,2.8378446102142334,0.06499999761581421,0.00045922145363874733,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
4,test,2.834704875946045,0.0560000017285347,0.00039609314990229905,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
5,train,2.8375463485717773,0.06199999898672104,0.00039656084845773876,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
5,test,2.8348450660705566,0.05799999088048935,0.00043212834862060845,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
6,train,2.838196039199829,0.05939999595284462,0.00046849390491843224,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
6,test,2.8339717388153076,0.06599999964237213,0.0005875417264178395,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
7,train,2.837522506713867,0.06340000033378601,0.0010027720127254725,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
7,test,2.833726406097412,0.05099999159574509,0.001824868144467473,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
8,train,2.836671829223633,0.061000000685453415,0.0014055742649361491,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
8,test,2.834038734436035,0.061000000685453415,0.0009756704093888402,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
9,train,2.8418848514556885,0.06260000169277191,0.00475327530875802,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
9,test,2.8335416316986084,0.06300000101327896,0.0003398821281734854,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
10,train,2.8366119861602783,0.06239999830722809,0.0002570661890786141,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
10,test,2.8332247734069824,0.06799999624490738,0.0002686652587726712,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
11,train,2.836308240890503,0.062000006437301636,0.0002899803512264043,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
11,test,2.8337182998657227,0.07699999213218689,0.00035624453448690474,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
12,train,2.8366405963897705,0.06280000507831573,0.00045823425170965493,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
12,test,2.8335978984832764,0.07699999958276749,0.0006738969823345542,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
13,train,2.8361377716064453,0.06279999762773514,0.00046710504102520645,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
13,test,2.8334686756134033,0.06599999964237213,0.00014651876699645072,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
14,train,2.836317539215088,0.06319999694824219,0.00014624453615397215,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
14,test,2.8338401317596436,0.06699999421834946,0.00016541835793759674,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
15,train,2.8362255096435547,0.06380000710487366,0.00017805125389713794,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
15,test,2.832963705062866,0.06800000369548798,0.00021400155674200505,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
16,train,2.8369109630584717,0.06340000033378601,0.00025168072897940874,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
16,test,2.8345046043395996,0.06300000101327896,0.00033407111186534166,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
17,train,2.8362438678741455,0.06960000097751617,0.000498138542752713,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
17,test,2.8336169719696045,0.06599999964237213,0.000875118188560009,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
18,train,2.8360583782196045,0.06239999830722809,0.002086823573336005,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
18,test,2.832731008529663,0.06400000303983688,0.004894063342362642,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
19,train,2.6854088306427,0.06279999762773514,0.9829482436180115,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
19,test,2.5655314922332764,0.06800000369548798,2.5430355072021484,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
20,train,2.590416669845581,0.06579999625682831,1.3875490427017212,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
20,test,2.834198236465454,0.060999996960163116,8.574650434134412e-10,0.0,50,100,200,20,200,1,1,lstm,rf,50,43,42
